fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 4.236 | 4.236 | 4.236 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
      5600  -6399.0452      58747.297      1.427262       625.45468      1119.0421     -6149.2389     -6126.3053    
      5700  -6413.2285      58609.111      1.4306271     -587.65053      1089.6663     -6169.9798     -6191.4766    
      5800  -6404.2151      59318.622      1.4135154     -378.72477      1087.2069     -6161.5155     -6175.5373    
      5900  -6401.2382      59005.551      1.4210152      761.78446      1135.3742     -6147.786      -6119.7307    
      6000  -6405.2954      59467.182      1.4099841     -622.52992      1090.8387     -6161.785      -6184.8912    
      6100  -6398.2774      59140.515      1.4177723      432.3797       1109.1788     -6150.6729     -6134.7126    
      6200  -6403.7796      58933.589      1.4227503      42.320632      1094.9103     -6159.3603     -6157.8036    
      6300  -6396.3414      59405.281      1.4114534     -487.52757      1131.507      -6143.7525     -6161.829     
      6400  -6400.1225      59625.422      1.4062422      548.47115      1083.2293     -6158.3107     -6137.8992    
      6500  -6407.1477      59111.683      1.4184638     -407.95262      1121.2399     -6156.8508     -6171.9021    
      6600  -6408.9665      59265.917      1.4147724     -347.45625      1101.7264     -6163.0256     -6175.8783    
      6700  -6397.6693      59315.607      1.4135872     -1109.9892      1100.6691     -6151.9644     -6193.0583    
      6800  -6413.2999      59032.429      1.4203682      47.771396      1104.2874     -6166.7873     -6165.0272    
      6900  -6403.0219      59324.18       1.4133829     -631.23002      1131.6546     -6150.4001     -6173.7728    
      7000  -6405.8037      59070.112      1.4194621      86.722534      1088.1856     -6162.8856     -6159.6882    
      7100  -6394.8546      59094.164      1.4188843      417.77887      1113.547      -6146.275      -6130.8658    
      7200  -6400.8127      58640.202      1.4298686      709.19996      1077.3935     -6160.3037     -6134.3467    
      7300  -6404.6383      58847.393      1.4248343     -1385.4223      1104.2627     -6158.1312     -6209.0173    
      7400  -6405.2068      58215.498      1.4403         958.76635      1116.6433     -6155.9359     -6121.0989    
      7500  -6397.3584      58164.486      1.4415632      291.07152      1132.5116     -6144.5453     -6133.9784    
      7600  -6410.7492      58536.329      1.4324059     -545.15836      1140.8022     -6156.0853     -6176.003     
      7700  -6407.7656      57700.793      1.4531478      1014.0998      1106.7012     -6160.7142     -6124.1924    
      7800  -6407.0896      58488.058      1.4335881     -364.65144      1076.225      -6166.8414     -6180.1532    
      7900  -6401.489       58329.128      1.4374942     -135.00419      1114.2766     -6152.7465     -6157.6615    
      8000  -6395.8335      58529.826      1.4325651      339.60204      1069.1562     -6157.1633     -6144.7571    
      8100  -6405.6591      58635.785      1.4299763      156.21349      1112.302      -6157.3574     -6151.6404    
      8200  -6397.4884      59106.963      1.4185771     -742.11451      1084.533      -6155.3857     -6182.7635    
      8300  -6413.835       58230.485      1.4399293      353.16096      1101.6476     -6167.9117     -6155.0763    
      8400  -6411.9251      58004.901      1.4455293      615.55428      1152.0227     -6154.7565     -6132.4711    
      8500  -6410.5419      57871.346      1.4488653      468.3793       1114.4914     -6161.7514     -6144.8334    
      8600  -6411.0315      58183.567      1.4410905      49.24666       1133.995      -6157.8873     -6156.0988    
      8700  -6407.297       58736.029      1.4275358     -1097.5277      1077.9742     -6166.6584     -6206.8939    
      8800  -6402.2416      58121.545      1.4426283      883.3624       1117.0507     -6152.8799     -6120.8345    
      8900  -6385.1624      59388.425      1.411854      -615.3693       1107.5945     -6137.9115     -6160.7216    
      9000  -6408.4118      57918.424      1.4476876     -234.21188      1087.9584     -6165.5443     -6174.0111    
      9100  -6410.4447      58119.178      1.442687       63.240289      1077.0624     -6170.0096     -6167.7156    
      9200  -6399.0895      59032.26       1.4203722     -215.07934      1086.5021     -6156.5472     -6164.4718    
      9300  -6398.5025      58705.524      1.4282776      458.96043      1116.9848     -6149.1554     -6132.3386    
      9400  -6406.4852      58355.755      1.4368383     -93.347161      1077.8134     -6165.8824     -6169.2824    
      9500  -6393.9681      58821.756      1.4254553     -252.66115      1108.6881     -6146.4731     -6155.7492    
      9600  -6405.7946      58678.568      1.4289337     -37.202651      1105.5228     -6159.0063     -6160.3688    
      9700  -6402.1707      58526.753      1.4326403     -402.78505      1024.7209     -6173.4199     -6188.1335    
      9800  -6396.1547      59207.186      1.4161758     -19.574447      1085.0887     -6153.9279     -6154.6512    
      9900  -6402.731       58692.863      1.4285857      40.33132       1090.006      -6159.4065     -6157.929     
     10000  -6413.4024      58318.519      1.4377557     -1062.2553      1059.6232     -6176.8603     -6215.5259    
     10100  -6405.6343      59004.971      1.4210292     -333.17252      1099.1578     -6160.2669     -6172.5369    
     10200  -6403.5745      58854.756      1.424656       104.39141      1116.0244     -6154.4419     -6150.6071    
     10300  -6413.8967      58320.216      1.4377139      839.43009      1094.0068     -6169.679      -6139.1233    
     10400  -6394.2095      58870.014      1.4242868      1579.3618      1081.3077     -6152.8267     -6094.795     
     10500  -6388.3487      60277.422      1.3910314     -554.90216      1106.5019     -6141.3418     -6162.2184    
     10600  -6396.4289      59412.972      1.4112707     -267.38368      1075.1336     -6156.4244     -6166.3397    
     10700  -6394.6404      59895.818      1.3998938     -590.9068       1110.544      -6146.7312     -6168.8217    
     10800  -6400.5391      59863.899      1.4006402      347.96912      1089.4806     -6157.3319     -6144.3303    
     10900  -6391.9087      60088.239      1.3954109     -523.4856       1107.9056     -6144.5884     -6164.2213    
     11000  -6403.3476      59274.659      1.4145637     -314.18218      1105.842      -6156.4879     -6168.1115    
     11100  -6402.473       59419.147      1.411124      -151.50797      1108.4644     -6155.028      -6160.6469    
     11200  -6409.6083      59378.762      1.4120837     -642.02695      1072.2993     -6170.2365     -6194.0309    
