fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
      5200  -6661.4811      45926.597      1.8256912     -1534.9999      1093.9945     -6417.2662     -6461.2672    
      5300  -6655.2415      45802.949      1.8306198     -281.01685      1133.0767     -6402.3023     -6410.336     
      5400  -6661.3048      45461.243      1.8443795      227.85237      1092.8355     -6417.3487     -6410.8834    
      5500  -6657.5583      45524.709      1.8418082     -253.21741      1102.9756     -6411.3386     -6418.5335    
      5600  -6663.5412      45489.022      1.8432532     -634.46698      1052.4382     -6428.603      -6446.6168    
      5700  -6661.9231      45447.444      1.8449395      98.848197      1112.5521     -6413.5656     -6410.7617    
      5800  -6653.5094      45617.511      1.8380614     -178.50852      1098.9618     -6408.1856     -6413.2682    
      5900  -6660.8664      45569.635      1.8399924     -143.18526      1099.876      -6415.3385     -6419.4111    
      6000  -6656.6822      45376.309      1.8478317      1655.7401      1105.1734     -6409.9718     -6363.0785    
      6100  -6644.2293      45669.55       1.8359669      1091.2662      1083.018      -6402.4648     -6371.3586    
      6200  -6649.5323      46013.594      1.8222394     -302.42735      1128.1159     -6397.7004     -6406.3859    
      6300  -6655.3794      45936.971      1.8252789     -1089.8204      1074.2136     -6415.5802     -6446.8271    
      6400  -6651.9558      46181.621      1.8156094     -2373.4813      1069.6041     -6413.1857     -6481.5996    
      6500  -6648.8138      45869.848      1.8279499     -94.698693      1141.929      -6393.8984     -6396.6096    
      6600  -6654.9945      45753.547      1.8325964     -369.55614      1114.3024     -6406.2463     -6416.7997    
      6700  -6662.2209      45684.853      1.8353519     -254.94827      1109.8677     -6414.4626     -6421.7322    
      6800  -6641.8216      45825.907      1.8297027      482.768        1116.0909     -6392.6741     -6378.8658    
      6900  -6652.1359      45769.688      1.8319501     -94.388934      1097.6851     -6407.0971     -6409.7936    
      7000  -6661.6797      45387.143      1.8473906      615.36734      1110.7765     -6413.7186     -6396.2862    
      7100  -6644.328       45831.486      1.8294799     -594.57724      1093.0414     -6400.3259     -6417.3343    
      7200  -6648.6793      45698.697      1.8347959     -227.45754      1088.7025     -6405.6458     -6412.1335    
      7300  -6658.0605      45657.742      1.8364417     -81.031913      1086.5799     -6415.5008     -6417.81      
      7400  -6662.8402      45591.73       1.8391007     -693.02157      1077.943      -6422.2085     -6441.9292    
      7500  -6651.8588      45448.92       1.8448795      466.9383       1105.6465     -6405.0428     -6391.7972    
      7600  -6661.9616      45242.197      1.8533093      422.02918      1065.5145     -6424.1044     -6412.1872    
      7700  -6651.5164      45732.697      1.8334318     -285.91612      1077.31       -6411.026      -6419.1872    
      7800  -6658.3069      45338.473      1.8493738      198.97723      1101.9477     -6412.3166     -6406.6859    
      7900  -6664.7437      45360.71       1.8484672     -125.89861      1113.4863     -6416.1777     -6419.7421    
      8000  -6656.19        45673.134      1.8358229     -669.55056      1100.0382     -6410.6259     -6429.7128    
      8100  -6660.1012      45470.968      1.843985      -345.65646      1134.4498     -6406.8554     -6416.6653    
      8200  -6661.1609      45561.906      1.8403046     -478.64969      1091.5171     -6417.4991     -6431.1107    
      8300  -6657.3816      45370.594      1.8480645      272.42998      1095.465      -6412.8384     -6405.1237    
      8400  -6666.692       45272.839      1.8520549      329.97464      1051.3775     -6431.9906     -6422.6665    
      8500  -6657.4547      45452.562      1.8447317      282.66761      1088.2537     -6414.5213     -6406.5023    
      8600  -6651.334       46039.553      1.8212119     -1314.4796      1122.5766     -6400.7387     -6438.5111    
      8700  -6653.4743      45725.061      1.833738      -410.42181      1103.354      -6407.1701     -6418.8832    
